category,period,amount,actual_roi
ALABAMA,1992-01,9650515,1.0917724080010238
ALABAMA,1993-01,10242374,1.1119819487161864
ALABAMA,1994-01,10815221,1.072503465255125
ALABAMA,1995-01,11541881,1.0639276215029423
ALABAMA,1996-01,12126587,1.0506788101219247
ALABAMA,1997-01,12944867,1.0821187270599226
ALABAMA,1998-01,13728431,1.0812561901647755
ALABAMA,1999-01,14701938,1.0543571194491501
ALABAMA,2000-01,15872589,1.0619972582922672
ALABAMA,2001-01,16718151,1.0682939159958538
ALABAMA,2002-01,17996418,0.8302870048917512
ALABAMA,2003-01,18471110,1.0339816069526953
ALABAMA,2004-01,19544560,1.0950247536910527
ALABAMA,2012-01,30813117,0.9623411029789684
ALABAMA,2013-01,31382719,0.9708859197318116
ALABAMA,2014-01,31758035,0.923275101875793
ALABAMA,2015-01,32459306,0.867828689867861
ALABAMA,2016-01,31582710,0.9730718168263585
ALABAMA,2017-01,31236831,1.0713619765077962
ALABAMA,2018-01,32708378,1.058909738660841
ALABAMA,2019-01,34420325,1.0310261742153801
ALASKA,1992-01,5254925,1.2040738925864785
ALASKA,1993-01,5423008,1.3568180242404215
ALASKA,1994-01,5751517,1.078561360420216
ALASKA,1995-01,5599033,1.4802620381055085
ALASKA,1996-01,5629502,1.4661241793679085
ALASKA,1997-01,5722455,1.6493816028260597
ALASKA,1998-01,5803173,1.5576366584280703
ALASKA,1999-01,6140559,1.190916983290935
ALASKA,2000-01,6611154,1.2984793577641665
ALASKA,2001-01,7072000,0.8747054581447964
ALASKA,2002-01,7402469,0.6779906812173073
ALASKA,2003-01,8121540,0.8525748811186056
ALASKA,2004-01,8089240,1.0943165241728519
ALASKA,2012-01,11729460,1.2774154138383182
ALASKA,2013-01,12214628,1.1647712071133072
ALASKA,2014-01,12926157,0.9864905710181301
ALASKA,2015-01,13006370,0.6433316905485543
ALASKA,2016-01,12359938,0.6403694743452597
ALASKA,2017-01,11301460,0.9700951912407777
ALASKA,2018-01,13196041,0.7808783710205205
ALASKA,2019-01,11525057,0.9091480415237859
ARIZONA,1992-01,9095781,1.0500905859540814
ARIZONA,1993-01,9782725,1.1084239820704354
ARIZONA,1994-01,10522311,1.116538942823492
ARIZONA,1995-01,11162452,1.1281903832598787
ARIZONA,1996-01,11898144,1.0585070242888304
ARIZONA,1997-01,12418681,1.1025627439822312
ARIZONA,1998-01,13327967,1.2441878795168084
ARIZONA,1999-01,14278357,1.0590775955524856
ARIZONA,2000-01,16315915,0.9999702744222435
ARIZONA,2001-01,17143148,0.9035036622211976
ARIZONA,2002-01,18606630,0.9296538921878922
ARIZONA,2003-01,19606017,0.9143843953618932
ARIZONA,2004-01,21765804,1.0927438288059563
