category,period,amount,actual_roi,month,quarter,month_sin,month_cos,amount_lag_1,amount_lag_2,amount_lag_3,rolling_3m_avg,rolling_6m_avg,roi_lag_1,mom_growth,spend_ratio,category_encoded
Engineering,2025-04,315000,1.61,4,2,0.8660254037844387,-0.4999999999999998,310000.0,305000.0,300000.0,305000.0,305000.0,1.59,1.639344262295082,0.62,0
Engineering,2025-05,320000,1.63,5,2,0.49999999999999994,-0.8660254037844387,315000.0,310000.0,305000.0,310000.0,307500.0,1.61,1.6129032258064515,0.6176470588235294,0
Engineering,2025-06,325000,1.65,6,2,1.2246467991473532e-16,-1.0,320000.0,315000.0,310000.0,315000.0,310000.0,1.63,1.5873015873015872,0.6153846153846154,0
Engineering,2025-07,330000,1.67,7,3,-0.4999999999999997,-0.8660254037844388,325000.0,320000.0,315000.0,320000.0,312500.0,1.65,1.5625,0.6132075471698113,0
Engineering,2025-08,335000,1.69,8,3,-0.8660254037844385,-0.5000000000000004,330000.0,325000.0,320000.0,325000.0,317500.0,1.67,1.5384615384615385,0.6111111111111112,0
Engineering,2025-09,340000,1.71,9,3,-1.0,-1.8369701987210297e-16,335000.0,330000.0,325000.0,330000.0,322500.0,1.69,1.5151515151515151,0.6090909090909091,0
Engineering,2025-10,345000,1.73,10,4,-0.8660254037844386,0.5000000000000001,340000.0,335000.0,330000.0,335000.0,327500.0,1.71,1.4925373134328357,0.6071428571428571,0
Engineering,2025-11,350000,1.75,11,4,-0.5000000000000004,0.8660254037844384,345000.0,340000.0,335000.0,340000.0,332500.0,1.73,1.4705882352941175,0.6052631578947368,0
Engineering,2025-12,355000,1.77,12,4,-2.4492935982947064e-16,1.0,350000.0,345000.0,340000.0,345000.0,337500.0,1.75,1.4492753623188406,0.603448275862069,0
Marketing,2025-04,195000,1.36,4,2,0.8660254037844387,-0.4999999999999998,190000.0,185000.0,180000.0,185000.0,185000.0,1.34,2.7027027027027026,0.38,1
Marketing,2025-05,200000,1.38,5,2,0.49999999999999994,-0.8660254037844387,195000.0,190000.0,185000.0,190000.0,187500.0,1.36,2.631578947368421,0.38235294117647056,1
Marketing,2025-06,205000,1.4,6,2,1.2246467991473532e-16,-1.0,200000.0,195000.0,190000.0,195000.0,190000.0,1.38,2.564102564102564,0.38461538461538464,1
Marketing,2025-07,210000,1.42,7,3,-0.4999999999999997,-0.8660254037844388,205000.0,200000.0,195000.0,200000.0,192500.0,1.4,2.5,0.3867924528301887,1
Marketing,2025-08,215000,1.44,8,3,-0.8660254037844385,-0.5000000000000004,210000.0,205000.0,200000.0,205000.0,197500.0,1.42,2.4390243902439024,0.3888888888888889,1
Marketing,2025-09,220000,1.46,9,3,-1.0,-1.8369701987210297e-16,215000.0,210000.0,205000.0,210000.0,202500.0,1.44,2.380952380952381,0.39090909090909093,1
Marketing,2025-10,225000,1.48,10,4,-0.8660254037844386,0.5000000000000001,220000.0,215000.0,210000.0,215000.0,207500.0,1.46,2.3255813953488373,0.39285714285714285,1
Marketing,2025-11,230000,1.5,11,4,-0.5000000000000004,0.8660254037844384,225000.0,220000.0,215000.0,220000.0,212500.0,1.48,2.272727272727273,0.39473684210526316,1
Marketing,2025-12,235000,1.52,12,4,-2.4492935982947064e-16,1.0,230000.0,225000.0,220000.0,225000.0,217500.0,1.5,2.2222222222222223,0.39655172413793105,1
